symbol,entry_time,exit_time,exit_reason,pnl_usd,pnl_bps,pnl_percent,hold_duration_sec,spread_bps_entry,imbalance_entry,depth_5bps_entry,entry_fee,exit_fee,total_fee,strategy_params,label,exit_type
DOTUSDT,2025-10-26 03:23:21.309559,2025-10-26 03:23:45.441684,SL,-0.0323834196891228,-6.476683937824558,-0.06476683937824558,24.132125,3.237817710862522,0.6341607166913648,0.0,0.0,0.0,0.0,,0,SL
DOTUSDT,2025-10-26 03:23:49.285501,2025-10-26 03:23:57.732939,SL,-0.0485751295336806,-9.71502590673612,-0.0971502590673612,8.447438,3.237817710862522,0.4005154305981412,0.0,0.0,0.0,0.0,,0,SL
DOTUSDT,2025-10-26 03:24:32.458169,2025-10-26 03:24:41.458298,SL,-0.0323834196891228,-6.476683937824558,-0.06476683937824558,9.000129,3.237817710862522,0.6972899423529033,0.0,0.0,0.0,0.0,,0,SL
DOTUSDT,2025-10-26 03:30:06.547548,2025-10-26 03:30:23.445958,SL,-0.032331070158418684,-6.466214031683737,-0.06466214031683737,16.89841,3.2325844512684334,0.5074040896674519,0.0,0.0,0.0,0.0,,0,SL
DOTUSDT,2025-10-26 03:36:55.242668,2025-10-26 03:37:15.617027,SL,-0.03235198964736693,-6.4703979294733855,-0.06470397929473386,20.374359,3.234675723758337,0.7059695446836735,0.0,0.0,0.0,0.0,,0,SL
DOTUSDT,2025-10-26 03:40:23.114868,2025-10-26 03:40:33.598122,SL,-0.03234152652005536,-6.468305304011072,-0.06468305304011072,10.483254,3.233629749393338,0.48494925050923593,0.0,0.0,0.0,0.0,,0,SL
DOTUSDT,2025-10-26 03:42:49.586771,2025-10-26 03:43:09.671189,SL,-0.048559404337975294,-9.71188086759506,-0.09711880867595059,20.084418,3.2367697038352152,0.5701444383037835,0.0,0.0,0.0,0.0,,0,SL
DOTUSDT,2025-10-26 03:49:48.126311,2025-10-26 03:50:03.408393,SL,-0.032310177705981,-6.4620355411962,-0.064620355411962,15.282082,3.2304958811173954,0.26445700886280016,0.0,0.0,0.0,0.0,,0,SL
DOTUSDT,2025-10-26 03:53:56.331107,2025-10-26 03:54:16.788380,SL,-0.04841833440929098,-9.683666881858198,-0.09683666881858198,20.457273,3.2273680813307535,0.7134085679850991,0.0,0.0,0.0,0.0,,0,SL
DOTUSDT,2025-10-26 03:54:40.055304,2025-10-26 03:55:01.568110,SL,-0.032299741602070796,-6.459948320414159,-0.06459948320414159,21.512806,3.2294526077826253,0.3667702879983854,0.0,0.0,0.0,0.0,,0,SL
VETUSDT,2025-10-26 03:56:39.732360,2025-10-26 03:56:48.318538,SL,-0.08705745792222512,-17.411491584445024,-0.17411491584445024,8.586178,5.80214679431366,0.4567811504194037,0.0,0.0,0.0,0.0,,0,SL
AVAXUSDT,2025-10-26 03:57:05.910155,2025-10-26 03:57:07.171645,SL,-0.10256410256410038,-20.512820512820074,-0.20512820512820074,1.26149,5.126890540887754,0.4828578769903511,0.0,0.0,0.0,0.0,,0,SL
NEARUSDT,2025-10-26 03:57:22.506329,2025-10-26 03:57:23.628456,SL,-0.08857395925597882,-17.714791851195763,-0.17714791851195763,1.122127,4.427717511622271,0.48886623680384345,0.0,0.0,0.0,0.0,,0,SL
DOTUSDT,2025-10-26 03:57:28.267765,2025-10-26 03:57:33.992615,SL,-0.032289312237645786,-6.4578624475291555,-0.06457862447529156,5.72485,3.2284100080706692,0.6632197535345326,0.0,0.0,0.0,0.0,,0,SL
NEARUSDT,2025-10-26 03:59:41.119879,2025-10-26 03:59:42.115687,SL,-0.06602112676055612,-13.204225352111223,-0.13204225352111224,0.995808,4.40044004400587,0.28404162322819604,0.0,0.0,0.0,0.0,,0,SL
DOTUSDT,2025-10-26 04:01:02.780482,2025-10-26 04:01:09.311639,SL,-0.03255208333333698,-6.510416666667394,-0.06510416666667394,6.531157,3.2546786004878436,0.4836412235381242,0.0,0.0,0.0,0.0,,0,SL
DOTUSDT,2025-10-26 04:02:02.977000,2025-10-26 04:02:20.688106,SL,-0.032541490400256744,-6.508298080051349,-0.06508298080051349,17.711106,3.253619651862339,0.4663379499186476,0.0,0.0,0.0,0.0,,0,SL
DOTUSDT,2025-10-26 04:03:59.923495,2025-10-26 04:04:20.477532,SL,-0.06512536633018566,-13.025073266037133,-0.13025073266037132,20.554037,3.255738238645254,0.32557541286685926,0.0,0.0,0.0,0.0,,0,SL
DOTUSDT,2025-10-26 04:19:59.391368,2025-10-26 04:20:05.749560,SL,-0.04879635653870641,-9.759271307741281,-0.09759271307741281,6.358192,3.2525613920973617,0.3082987113051624,0.0,0.0,0.0,0.0,,0,SL
DOTUSDT,2025-10-26 04:28:22.061307,2025-10-26 04:28:43.697516,SL,-0.032573289902276543,-6.514657980455309,-0.06514657980455309,21.636209,3.256798567009718,0.648756153733132,0.0,0.0,0.0,0.0,,0,SL
DOTUSDT,2025-10-26 04:38:19.409968,2025-10-26 04:38:29.014063,SL,-0.03249918752030841,-6.4998375040616825,-0.06499837504061683,9.604095,3.2493907392360355,0.2853423842301348,0.0,0.0,0.0,0.0,,0,SL
VETUSDT,2025-10-26 04:39:03.308234,2025-10-26 04:39:06.431512,SL,-0.05807200929151912,-11.614401858303825,-0.11614401858303824,3.123278,5.805515239477268,0.26106909407431533,0.0,0.0,0.0,0.0,,0,SL
DOTUSDT,2025-10-26 04:49:22.834020,2025-10-26 04:49:24.003344,SL,-0.04882812500000185,-9.765625000000371,-0.0976562500000037,1.169324,3.2546786004878436,0.3487174837292712,0.0,0.0,0.0,0.0,,0,SL
DOTUSDT,2025-10-26 04:51:50.685615,2025-10-26 04:52:05.740623,SL,-0.06521030322791006,-13.042060645582012,-0.13042060645582013,15.055008,3.2599837000811407,0.44932905690635094,0.0,0.0,0.0,0.0,,0,SL
DOTUSDT,2025-10-26 05:01:09.808524,2025-10-26 05:01:33.503020,SL,-0.0325945241199515,-6.518904823990298,-0.06518904823990299,23.694496,3.258921297050317,0.7006135783434017,0.0,0.0,0.0,0.0,,0,SL
DOTUSDT,2025-10-26 05:10:14.168242,2025-10-26 05:10:20.164477,SL,-0.032605151613958654,-6.521030322791731,-0.06521030322791731,5.996235,3.2599837000811407,0.5720650118655183,0.0,0.0,0.0,0.0,,0,SL
DOTUSDT,2025-10-26 05:14:56.486825,2025-10-26 05:15:01.712416,SL,-0.0325945241199515,-6.518904823990298,-0.06518904823990299,5.225591,3.258921297050317,0.46843797722955444,0.0,0.0,0.0,0.0,,0,SL
NEARUSDT,2025-10-26 05:32:07.412372,2025-10-26 05:32:27.690715,SL,-0.04411116012350639,-8.822232024701277,-0.08822232024701278,20.278343,4.4101433296577275,0.33231071616930985,0.0,0.0,0.0,0.0,,0,SL
DOTUSDT,2025-10-26 05:35:14.387638,2025-10-26 05:35:28.482698,SL,-0.032573289902276543,-6.514657980455309,-0.06514657980455309,14.09506,3.256798567009718,0.6438519731270818,0.0,0.0,0.0,0.0,,0,SL
LINKUSDT,2025-10-26 05:38:58.724031,2025-10-26 05:39:20.714051,SL,-0.08450704225352432,-16.901408450704867,-0.16901408450704866,21.99002,5.632216277105921,0.45621381444745074,0.0,0.0,0.0,0.0,,0,SL
DOTUSDT,2025-10-26 05:42:42.102928,2025-10-26 05:43:00.822157,SL,-0.032626427406195424,-6.525285481239084,-0.06525285481239085,18.719229,3.262110585548491,0.4484757929612005,0.0,0.0,0.0,0.0,,0,SL
DOTUSDT,2025-10-26 06:00:06.427151,2025-10-26 06:00:25.827742,SL,-0.032626427406195424,-6.525285481239084,-0.06525285481239085,19.400591,3.262110585548491,0.464792079544056,0.0,0.0,0.0,0.0,,0,SL
VETUSDT,2025-10-26 06:00:06.687984,2025-10-26 06:00:31.033834,SL,-0.05807200929151912,-11.614401858303825,-0.11614401858303824,24.34585,5.805515239477268,0.7328005670292262,0.0,0.0,0.0,0.0,,0,SL
NEARUSDT,2025-10-26 06:05:05.683945,2025-10-26 06:05:09.409758,SL,-0.06590509666080119,-13.181019332160238,-0.13181019332160238,3.725813,4.39270810454792,0.4615420100873416,0.0,0.0,0.0,0.0,,0,SL
